"question","answer"
"What should I do if I'm waiting for emergency help to arrive?","Try to keep the injured person from moving."
"What should I do after helping the injured person?","Wash your hands, even if it doesn't look like any blood got on your hands."
"What are the causes of burns?","Burns can be caused by hot liquids, the sun, flames, chemicals, electricity, steam, and other factors."
"When should you seek emergency medical help for a burn?","You should seek emergency medical help for a burn if it is deep, involving all layers of the skin, causes the skin to be dry and leathery, appears charred or has patches of white, brown or black, is larger than 3 inches (about 8 centimeters) in diameter, covers the hands, feet, face, groin, buttocks or a major joint, encircles an arm or leg, is accompanied by smoke inhalation, or begins swelling very quickly. Electrical burns, including those caused by lightning, and major chemical burns also require emergency medical care. A minor burn might need emergency care if it affects the eyes, mouth, hands or genital areas. Babies and older adults might need emergency care for minor burns as well."
"What should you do until emergency help arrives for a major burn?","Until emergency help arrives for a major burn, you should protect the burned person from further harm, make certain that the person burned is breathing, remove jewelry, belts, and other tight items, cover the burn loosely with gauze or a clean cloth, raise the burned area above heart level if possible, and watch for signs of shock."
"What should you do for a minor burn?","For a minor burn, you should cool the burn by holding the area under cool (not cold) running water for about 10 minutes. If the burn is on the face, apply a cool, wet cloth until the pain eases. For a mouth burn from hot food or drink, put a piece of ice in the mouth for a few minutes. Remove rings or other tight items from the burned area. Don't break blisters. Apply lotion, such as one with aloe vera or cocoa butter. Bandage the burn with a clean bandage, and wrap it loosely to avoid putting pressure on burned skin. If needed, take a nonprescription pain reliever, such as ibuprofen (Advil, Motrin IB, others), naproxen sodium (Aleve) or acetaminophen (Tylenol, others)."
"Why is it important to have access to key health information during an emergency?","During an emergency, medical service providers need to have access to key health information for anyone who needs assistance. This information can help them provide proper and timely medical care."
"What information should be included in a health record?","A health record should include your name, age, sex, address, medication names, doses and schedules, medical equipment, chronic medical conditions, medical consent form, aspects of your health history that could be helpful to emergency medical responders, including allergies and immunization record, phone numbers for professional emergency contacts, such as your family doctor, local emergency services, emergency road service providers, and the regional poison control center, and phone numbers for a personal emergency contact, such as a friend or a family member who you've asked to serve in this role."
"What are some options for storing your health information online?","Two options for storing your health information online include free or subscription-based personal health records (PHRs) and patient portals. Many health care providers, insurance companies and employers offer their clients or staff access to their electronic health record via patient portals."
"What are some other storage options for emergency health information?","Other storage options for emergency health information include print versions, where you keep a number of print copies in handy places, such as your purse, vehicle glove box, first aid kit and emergency kit. You could even try making one small enough to fit in your wallet or on an index card. Consider posting the index card on your refrigerator door so emergency personnel can see it quickly if needed. Another option is to put the list on a portable digital device, such as a cell phone or thumb drive, that you keep with you."
"What is a patient portal?","A patient portal is an electronic health information tool offered by many insurance companies, employers, and health care institutions. It allows patients to access their electronic health record and communicate with their health care provider."
"What should you do to treat a mild reaction to an insect bite or sting?","To treat a mild reaction to an insect bite or sting, move to a safe area to avoid more bites or stings, remove any stingers, gently wash the area with soap and water, apply a cloth dampened with cold water or filled with ice to the area of the bite or sting for 10 to 20 minutes, raise the affected arm or leg, apply calamine lotion, baking soda paste, or 0.5% or 1% hydrocortisone cream to the affected area several times a day until your symptoms go away, take an anti-itch medicine (antihistamine) by mouth to reduce itching, and take a nonprescription pain reliever as needed."
"When should you seek medical care for an insect bite or sting?","You should seek medical care if the swelling gets worse, the site shows signs of infection, or you don't feel well."
"When should you call 911 or your local medical emergency number for an insect bite or sting?","You should call 911 or your local medical emergency number if a child is stung by a scorpion or if anyone is having a serious reaction that suggests anaphylaxis, such as trouble breathing, swelling of the lips, face, eyelids or throat, dizziness, fainting or unconsciousness, a weak and rapid pulse, hives, or nausea, vomiting or diarrhea."
"What should you do while waiting for medical help if someone is having a serious reaction to an insect bite or sting?","While waiting for medical help if someone is having a serious reaction to an insect bite or sting, ask whether the injured person is carrying an epinephrine autoinjector (EpiPen, Auvi-Q, others) and ask whether you should help inject the medication. Loosen tight clothing and cover the person with a blanket. Don't offer anything to drink. If needed, position the person to prevent choking on vomit."
"What is motion sickness?","Motion sickness is a feeling of uneasiness, dizziness, and vomiting that can occur when traveling by any type of transportation."
"How can I avoid motion sickness while traveling?","You can avoid motion sickness by planning ahead and avoiding sitting in the rear of the vehicle or in seats that face backward. You should also focus on the horizon or on a distant, stationary object while traveling, keep your head still, avoid smoking and strong odors, and take an antihistamine, ginger, or eat lightly to help curb nausea."
"What are some tips for traveling by ship to avoid motion sickness?","If traveling by ship, you should request a cabin in the front or middle of the ship near the water level to avoid motion sickness."
"What are some tips for traveling by plane to avoid motion sickness?","If traveling by plane, you should ask for a seat over the front edge of a wing and direct the air vent flow to your face to avoid motion sickness."
"What are some tips for traveling by train to avoid motion sickness?","If traveling by train, you should take a forward-facing seat near the front and next to a window to avoid motion sickness."
"What are some tips for traveling by automobile to avoid motion sickness?","If traveling by automobile, you should drive or sit in the front passenger's seat and children should be in age-appropriate seats and restraints to avoid motion sickness."
"What medications can I take to prevent motion sickness?","You can take antihistamines such as dimenhydrinate or meclizine, at least 30 to 60 minutes before traveling to prevent motion sickness. Scopolamine is also available in a prescription adhesive patch called Transderm Scop. Talk to your healthcare provider before using scopolamine if you have health problems such as glaucoma or urine retention. Ginger supplements, ginger ale, or candied ginger may also help curb nausea."
"What is frostbite?","Frostbite is when skin and underlying tissues freeze after being exposed to very cold temperatures, usually affecting areas like the fingertips, toes, earlobes, cheeks, chin and tip of the nose."
"What are the early signs and symptoms of frostbite?","Early signs and symptoms of frostbite include patches of reddish skin and burning pain. The condition then progresses to cold, numb, white or grayish skin that feels stiff or looks waxy."
"What should you do if you suspect hypothermia?","Get emergency medical help if you suspect hypothermia. Signs of hypothermia include intense shivering, drowsiness, confusion, fumbling hands and slurred speech."
"What should you do to protect frostbitten skin from further damage?","If there's any chance the affected areas will freeze again, don't thaw them. If they're already thawed, wrap them up so that they don't refreeze."
"How should you warm frostbitten hands if you're outside?","Warm frostbitten hands by tucking them into your armpits. Protect your face, nose or ears by covering the area with dry, gloved hands. Don't rub the affected skin with snow or anything else. And don't walk on frostbitten feet or toes if possible."
"What should you do once you're in a warm space after being in the cold with frostbite?","Once you're in a warm space, remove wet clothes and wrap up in a warm blanket."
"How should you gently rewarm frostbitten areas?","Soak frostbitten fingers, toes or other extremities in warm water — 105 to 110 F (about 40 to 43 C). If a thermometer isn't available, test the water by placing an uninjured hand or elbow in it — it should feel very warm, not hot. Soak for 20 to 30 minutes or until the skin becomes its normal color or loses its numbness. For the face or ears, apply a warm, wet washcloth."
"What should you avoid when rewarming frostbitten skin?","Don't rewarm frostbitten skin with direct heat, such as a stove, heat lamp, fireplace or heating pad. This can cause burns."
"What should you drink to help warm yourself from the inside if you have frostbite?","Drink warm liquids like tea, coffee, hot chocolate or soup to help warm you from the inside. Don't drink alcohol."
"Should you consider taking pain medicine for frostbite?","If you're in pain, consider an over-the-counter pain reliever."
"What should you expect as skin thaws during frostbite treatment?","You'll feel tingling and burning as the skin warms and normal blood flow returns. Take care to not break any blisters that may form on the affected skin. Seek medical help for anything more serious than mild frostbite."
"What should you do for a minor animal bite or claw wound?","Wash the wound thoroughly with soap and water, apply an antibiotic cream or ointment, and cover the bite with a clean bandage."
"When should you seek prompt medical care for an animal bite?","You should seek prompt medical care if the wound is a deep puncture or you're not sure how serious it is, the skin is badly torn, crushed or bleeding significantly, you notice increasing swelling, redness, pain or oozing, or you have questions about your risk of rabies or about rabies prevention."
"What should you do if the bite was caused by a cat or a dog?","Try to confirm that the animal's rabies vaccination is up to date."
"What should you do if the bite was caused by a wild animal?","Seek advice from your doctor about which animals are most likely to carry rabies."
"Why should you seek medical advice about rabies shots if you come into contact with bats, even if you don't think you've been bitten?","Bats often carry rabies and can infect humans without leaving obvious signs of a bite."
"How often should you get a tetanus shot after an animal bite?","If you haven't had a tetanus shot in the past 10 years — or 5 years if the wound is deep or dirty — you may need a booster shot."
"What are some sources of electricity that can cause electrical burns?","Examples of sources of electricity that can cause electrical burns include lightning, stun guns, and contact with job site or household current."
"How should minor electrical skin burns be treated?","Minor electrical skin burns should be treated like any other minor burn. Put a cool wet cloth on the area. Do not break any blisters. After you gently clean the skin, put a bandage on the area. If you have any questions about how severe the burn is, contact a health care provider."
"When should you contact a health care provider after an electrical burn?","A person who has been injured by contact with electricity should be seen by a health care provider. The damage may be worse than it looks from the burn on the skin. Sometimes an electrical injury can cause damage to skin, muscles, blood vessels and nerves, often in an arm or a leg. The heart, brain and other body organs can be damaged."
"What precautions should you take if someone has been injured by contact with electricity?","If someone has been injured by contact with electricity, don't touch the injured person if they are still in contact with the electrical current. Call 911 or your local emergency number if the source of the burn is a high-voltage wire or lightning. Don't get near high-voltage wires until the power is turned off. Overhead power lines usually aren't insulated. Stay at least 50 feet (about 15 meters) away — farther if wires are jumping and sparking. Don't drive over downed power lines. If a live electrical line contacts the vehicle you're in, stay in the vehicle. Call 911 or your local emergency number to disable the power line before touching any metal to try to exit the vehicle. Don't move a person with an electrical injury unless the person is in immediate danger."
"When should emergency care be sought after an electrical burn?","Emergency care should be sought if the injured person experiences severe burns, confusion, difficulty breathing, irregular heart rhythm (arrhythmias), does not have a pulse and is not breathing (cardiac arrest), muscle pain and contractions, seizures, or loss of consciousness."
"What should be done immediately while waiting for medical help after an electrical burn?","Immediately turn off the source of electricity if possible. If not, move the source away from both you and the injured person using a dry, nonconducting object made of cardboard, plastic, or wood. Begin CPR if the person is not breathing, coughing or moving and doesn't have a pulse. Do not remove clothing or try to clean the burned area. Cover any burned areas with a sterile gauze bandage, if available, or a clean cloth or sheet. Don't use a blanket or towel, because fuzz or loose fibers can stick to the burns. Try to prevent the injured person from becoming chilled."
"What is fainting?","Fainting occurs when the brain doesn't receive enough blood for a brief time. This causes loss of consciousness."
"What should you do if you feel faint?","Lie down or sit down. To reduce the chance of fainting again, don't get up too quickly. Place your head between your knees if you sit down."
"What should you do if someone else faints?","Position the person on the back. If there are no injuries and the person is breathing, raise the person's legs above heart level if possible. Prop up the person's legs about 12 inches (30 centimeters). Loosen belts, collars or other tight clothing. To reduce the chance of fainting again, don't get the person up too fast. If the person doesn't regain consciousness within one minute, call 911 or your local emergency number."
"What should you do if the person who fainted is not breathing?","Check for breathing. Check for a pulse and to see if the person is breathing. If the person is not breathing, begin CPR. Call 911 or your local emergency number. Continue CPR until help arrives or the person begins to breathe."
"What should you do if the person who fainted was injured in a fall?","Treat bumps, bruises or cuts appropriately. Control bleeding with direct pressure."
"When should you talk to your health care provider if you faint?","Talk to your health care provider if you faint more than once."
"What should you do if you suspect a serious head injury?","Call 911 or your local emergency number."
"What are the symptoms of a serious head injury in adults?","Severe head or facial bleeding, bleeding or fluid leakage from the nose or ears, vomiting, severe headache, change in consciousness for more than a few seconds, black-and-blue discoloration below the eyes or behind the ears, not breathing, confusion, agitation, loss of balance, weakness or an inability to use an arm or leg, unequal pupil size, slurred speech, seizures."
"What are the symptoms of a serious head injury in children?","Any of the symptoms for adults, persistent crying, refusal to eat, bulging in the soft spot on the front of the head of infants, repeated vomiting."
"What first aid steps should you take while waiting for emergency medical help to arrive for someone with head trauma?","Keep the person still. The injured person should lie down with the head and shoulders slightly elevated. Don't move the person unless necessary. Avoid moving the person's neck. If the person is wearing a helmet, don't remove it. Stop any bleeding. Apply firm pressure to the wound with sterile gauze or a clean cloth. But don't apply direct pressure to the wound if you suspect a skull fracture. Watch for changes in breathing and alertness. If the person shows no signs of circulation — no breathing, coughing or movement — begin CPR."
"What are the concussion symptoms that require evaluation by a medical professional?","Nausea, unsteadiness, headaches, or difficulty concentrating."
"What is heat exhaustion?","Heat exhaustion is a heat-related syndrome that occurs when the body loses too much water or salt, usually from excessive sweating or dehydration. It can begin suddenly or happen over time, usually after working, exercising, or playing in the heat."
"What are the signs and symptoms of heat exhaustion?","Signs and symptoms of heat exhaustion include cool, moist skin with goosebumps when in the heat, heavy sweating, faintness, dizziness, fatigue, weak and rapid pulse, low blood pressure upon standing, muscle cramps, nausea or vomiting, headache, extreme thirst, mild confusion, and decreased urine output."
"What should you do if you suspect someone has heat exhaustion?","If you suspect someone has heat exhaustion, move the person out of the heat and into a shady or air-conditioned place, lay the person down and elevate the legs and feet slightly, remove tight or heavy clothing, have the person sip chilled water, a decaffeinated sports drink containing electrolytes or other nonalcoholic beverage without caffeine, cool the person by spraying or sponging with cool water and fanning, and monitor the person carefully. Contact a health care provider if signs or symptoms worsen or if the person doesn't improve after taking first-aid measures."
"When should you call 911 or your local emergency number?","You should call 911 or your local emergency number if the person's condition gets worse, especially if he or she experiences fainting, agitation, confusion, seizures, inability to drink, or a core body temperature measured by rectal thermometer of 104 F (40 C) (heatstroke)."
"What is choking?","Choking happens when an object lodges in the throat or windpipe blocking the flow of air."
"What are the signs of choking?","Signs of choking include one or both hands clutched to the throat, a look of panic, shock or confusion, inability to talk, strained or noisy breathing, squeaky sounds when trying to breathe, cough, which may either be weak or forceful, skin, lips and nails that change color turning blue or gray and loss of consciousness."
"What should you do if a choking person can cough forcefully?","If a choking person can cough forcefully, let the person keep coughing. Coughing might naturally remove the stuck object."
"What should you do if a person can't cough, talk, cry or laugh forcefully?","If a person can't cough, talk, cry or laugh forcefully, give first aid to the person."
"What are the steps for first aid for a choking person?","The American Red Cross recommends the following steps: 1) Give five back blows. 2) Give five abdominal thrusts. 3) Alternate between five blows and five thrusts until the blockage is dislodged."
"How do you perform abdominal thrusts on someone else?","To give abdominal thrusts to someone else, stand behind the person. For a child, kneel down behind. Place one foot slightly in front of the other for balance. Wrap your arms around the waist. Tip the person forward slightly. Make a fist with one hand. Put it just above the person's navel. Grasp the fist with the other hand. Press into the stomach, also called the abdomen, with a quick, upward thrust — as if trying to lift the person up. For a child, use gentle yet firm pressure to avoid damaging the internal organs. Give five abdominal thrusts. Check if the blockage has been removed. Repeat as needed."
"What should you do if you are the only rescuer?","If you're the only rescuer, give back blows and abdominal thrusts first. Then call 911 or your local emergency number for help."
"What should you do if the person becomes unconscious?","If the person becomes unconscious, start standard cardiopulmonary resuscitation (CPR) with chest compressions and rescue breaths."
"What should you do if the person is pregnant or if you can't get your arms around the stomach?","Give chest thrusts. Put your hands at the base of the breastbone, just above the joining of the lowest ribs. Press hard into the chest with a quick thrust. This is the same action as the Heimlich maneuver. Repeat until the blockage is removed from the airway."
"What should you do to clear the airway of an unconscious person who is choking?","Lower the person onto the floor, with the back on the floor and arms to the sides. Clear the airway. If you can see the object, reach a finger into the mouth to sweep out the object. Never finger sweep if you can't see the object. You risk pushing the blockage deeper into the airway. This is very risky with young children. Begin CPR if the person still doesn't respond. If the airway is still blocked, use chest compressions such as those that are used in CPR to remove the stuck object. Only use two rescue breaths per cycle. Recheck the mouth regularly for the object."
"What should you do to clear the airway of a choking infant younger than age 1?","Sit and hold the infant facedown on your forearm. Rest your forearm on your thigh. Hold the infant's chin and jaw to support the head. Place the head lower than the trunk. Thump the infant gently but firmly five times on the middle of the back. Use the heel of your hand. Point your fingers up so that you don't hit the back of the infant's head. Gravity and the back thumps should release the blockage. Turn the infant faceup on your forearm if breathing hasn't started. Rest your arm on your thigh. Place the infant's head lower than the trunk. Give five gentle but firm chest compressions with your fingers. Place two fingers just below the nipple line. Press down about 1 1/2 inches. Let the chest rise between each compression. Repeat the back thumps and chest compressions if breathing doesn't start. Call for emergency medical help. Begin infant CPR if the airway is clear but the infant doesn't start breathing."
"What should you do if you're alone and choking?","Call 911 or your local emergency number right away. Then, give yourself abdominal thrusts, also called the Heimlich maneuver, to remove the stuck object. Place a fist slightly above your navel. Grasp your fist with the other hand. Bend over a hard surface. A countertop or chair will do. Shove your fist inward and upward."
"What is a dislocation?","A dislocation is an injury in which the ends of your bones are forced from their normal positions."
"What is the usual cause of dislocation?","The cause is usually trauma resulting from a fall, an auto accident, or a collision during contact or high-speed sports."
"Which joints are usually involved in dislocation?","Dislocation usually involves the body's larger joints. In adults, the most common site of the injury is the shoulder. In children, it's the elbow. Your thumb and fingers also are vulnerable if forcibly bent the wrong way."
"What are the symptoms of dislocation?","The injury will temporarily deform and immobilize your joint and may result in sudden and severe pain and swelling."
"What should you do if you believe you have dislocated a joint?","Don't delay medical care. Get medical help immediately. Don't move the joint. Until you receive help, splint the affected joint into its fixed position. Don't try to move a dislocated joint or force it back into place. This can damage the joint and its surrounding muscles, ligaments, nerves or blood vessels. Put ice on the injured joint. This can help reduce swelling by controlling internal bleeding and the buildup of fluids in and around the injured joint."
"Why should you not try to move a dislocated joint back into place?","This can damage the joint and its surrounding muscles, ligaments, nerves or blood vessels."
"What should you do if you swallow a foreign object?","If you swallow a foreign object and it is stuck in your esophagus or blocks your airway and causes choking, seek immediate medical attention. If you have food stuck in the esophagus, you can try to drink a carbonated beverage to see if that will help it pass."
"What are the symptoms of an object stuck in the esophagus?","Symptoms include pain from the throat down the middle of the chest and regurgitating food or drink."
"What should you do if someone is choking on a foreign object?","If a choking person can cough forcefully, let the person keep coughing. Coughing might naturally remove the stuck object. If a person can't cough, talk, cry or laugh forcefully, give first aid to the person. The American Red Cross recommends giving five back blows and five abdominal thrusts, alternating between the two, until the blockage is dislodged. If the choking person becomes unconscious, clear the airway and begin CPR."
"What should you do if the choking person becomes unconscious?","If the choking person becomes unconscious, lower the person onto the floor, clear the airway, and begin CPR if the person still doesn't respond. Recheck the mouth regularly for the object."
"How do you give abdominal thrusts to someone else?","Stand behind the person and place one foot slightly in front of the other for balance. Wrap your arms around the waist and tip the person forward slightly. Make a fist with one hand and put it just above the person's navel. Grasp the fist with the other hand and press into the stomach with a quick, upward thrust – as if trying to lift the person up. For a child, use gentle yet firm pressure to avoid damaging the internal organs. Give five abdominal thrusts and check to see if the blockage has been removed. Repeat as needed."
"What should you do if an object is stuck in your esophagus?","If an object is stuck in your esophagus, you may need to have it removed by your health care provider. See your provider right away if the object is sharp or pointed, a button battery, or a magnet."
"What are the symptoms of having a foreign object stuck in the esophagus?","Symptoms include pain from the throat down the middle of the chest and regurgitating food or drink."
"What should you do if a person is choking and can't cough or talk forcefully?","If a person can't cough, talk, cry or laugh forcefully, give first aid to the person. Give five back blows and five abdominal thrusts, also known as the Heimlich maneuver, alternately until the blockage is dislodged."
"What should you do if a choking person becomes unconscious?","Lower the person onto the floor, clear the airway, and begin CPR if the person still doesn't respond. If the airway is still blocked, use chest compressions such as those that are used in CPR to remove the stuck object."
"What should you do if you're choking and alone?","Call 911 or your local emergency number right away. Then give yourself abdominal thrusts, also called the Heimlich maneuver, to remove the stuck object."
"What should you do if the person is pregnant or if you can't get your arms around the stomach?","If the person is pregnant or if you can't get your arms around the stomach, give chest thrusts. Put your hands on the chest, place them at the base of the breastbone, and press hard into the chest with a quick thrust. Repeat until the blockage is removed from the airway."
"What can you do to prepare for situations like this?","To prepare for situations like this, learn the Heimlich maneuver and CPR in a certified first-aid training course."
"What is poisoning?","Poisoning is injury or death due to swallowing, inhaling, touching or injecting various drugs, chemicals, venoms or gases. Many substances — such as drugs and carbon monoxide — are poisonous only in higher concentrations or dosages."
"What are the signs and symptoms of poisoning?","Signs and symptoms of poisoning may include burns or redness around the mouth and lips, breath that smells like chemicals, such as gasoline or paint thinner, vomiting, difficulty breathing, drowsiness, and confusion or other altered mental status."
"What should you do if you suspect someone has been poisoned?","If you suspect poisoning, be alert for clues such as empty pill bottles or packages, scattered pills, and burns, stains and odors on the person or nearby objects. Call Poison Help at 800-222-1222 in the United States or your regional poison control center in the following situations: The person is stable and has no symptoms, or the person is going to be transported to the local emergency department. Be ready to describe the person's symptoms, age, weight, other medications he or she is taking, and any information you have about the poison. Try to determine the amount ingested and how long since the person was exposed to it. If possible, have on hand the pill bottle, medication package or other suspect container so that you can refer to its label when speaking with the poison control center."
"When should you call 911 or your local emergency number if you suspect poisoning?","Call 911 or your local emergency number immediately if the person is drowsy or unconscious, having difficulty breathing or has stopped breathing, uncontrollably restless or agitated, having seizures, or known to have taken medications, or any other substance, intentionally or accidentally overdosed (in these situations the poisoning typically involves larger amounts, often along with alcohol)."
"How can you get help from Poison Control in the U.S?","There are two ways to get help from Poison Control in the U.S: online at www.poison.org or by calling 800-222-1222. Both options are free, confidential, and available 24 hours a day. It may help to place a refrigerator magnet or a visible sticker in your home with the poison control number. Poison control centers are excellent resources for poisoning information and, in many situations, may advise that in-home observation is all that's needed."
"What should you do if someone has swallowed poison?","Remove anything remaining in the person's mouth. If the suspected poison is a household cleaner or other chemical, read the container's label and follow instructions for accidental poisoning."
"What should you do if someone has poison on their skin?","Remove any contaminated clothing using gloves. Rinse the skin for 15 to 20 minutes in a shower or with a hose."
"What should you do if someone has poison in their eye?","Gently flush the eye with cool or lukewarm water for 20 minutes or until help arrives."
"What should you do if someone has inhaled poison?","Get the person into fresh air as soon as possible."
"What should you do if the person vomits?","Turn his or her head to the side to prevent choking."
"When should you begin CPR for a person who has been poisoned?","Begin CPR if the person shows no signs of life, such as moving, breathing or coughing."
"What is the number to call for Poison Help in the United States?","Call Poison Help at 800-222-1222 in the United States or your regional poison control for additional instructions."
"What should you do if someone is at risk of overdose of opioid pain medication and naloxone (Narcan) is available?","If the person is at risk of overdose of opioid pain medication and naloxone (Narcan) is available, please administer. Loved ones should be familiar with how to use them."
"What is the caution about using syrup of ipecac?","Don't give syrup of ipecac or do anything to induce vomiting. Expert groups, including the American Association of Poison Control Centers and the American Academy of Pediatrics, no longer endorse using ipecac in children or adults who have taken pills or other potentially poisonous substances. No good evidence proves its effectiveness, and it often can do more harm than good. If you still have old bottles of syrup of ipecac in your home, throw them away."
"What should you do if a child has swallowed a button battery?","If you suspect that a child has swallowed one of these batteries, immediately take him or her for an emergency X-ray to determine its location. If the battery is in the esophagus, it will have to be removed. If it has passed into the stomach, it's usually safe to allow it to pass on through the intestinal tract."
"What should you do if you think a child got hold of medicated patches?","If you think a child got hold of medicated patches — adhesive products for transdermal drug delivery — carefully inspect the child's skin and remove any that are attached. Also check the roof of the mouth, where medicated patches can get stuck if the child sucks on them."
"What is anaphylaxis?","Anaphylaxis is a life-threatening allergic reaction that can cause shock, a sudden drop in blood pressure, and trouble breathing."
"What are the symptoms of anaphylaxis?","Symptoms of anaphylaxis include skin reactions such as hives, itching, and skin that becomes flushed or changes color; swelling of the face, eyes, lips, or throat; narrowing of the airways, leading to wheezing and trouble breathing or swallowing; a weak and rapid pulse; nausea, vomiting, or diarrhea; dizziness, fainting, or unconsciousness."
"What should you do if someone is having an allergic reaction with signs of anaphylaxis?","If you're with someone having an allergic reaction with signs of anaphylaxis, immediately call 911 or your local medical emergency number. Ask if the person is carrying an epinephrine autoinjector (EpiPen, Auvi-Q, others) to treat an allergic attack. If the person needs to use an autoinjector, ask whether you should help inject the medication. This is usually done by pressing the autoinjector against the person's thigh. Have the person lie face up and be still. Loosen tight clothing and cover the person with a blanket. Don't give the person anything to drink. If there's vomiting or bleeding from the mouth, turn the person to the side to prevent choking. If there are no signs of breathing, coughing or movement, begin CPR. Do uninterrupted chest presses — about 100 every minute — until paramedics arrive. Get emergency treatment even if symptoms start to improve. After anaphylaxis, it's possible for symptoms to start again (recur). Monitoring in a hospital for several hours is usually necessary."
"Are antihistamine pills enough to treat anaphylaxis?","No, antihistamine pills such as diphenhydramine (Benadryl) aren't enough to treat anaphylaxis. These medications can help relieve allergy symptoms, but they work too slowly in a severe reaction."
"What are some common triggers for anaphylaxis?","Some common anaphylaxis triggers include medications, latex, foods such as peanuts, tree nuts, fish, and shellfish, and insect stings from bees, yellow jackets, wasps, hornets, and fire ants."
"What should you do if you've had a severe allergic reaction in the past?","If you've had any kind of severe allergic reaction in the past, ask your doctor if you should be prescribed an epinephrine autoinjector to carry with you."
"What should you do with your first-aid kit?","Keep at least one first-aid kit in your home and one in your car. Store your kits someplace easy to get to and out of the reach of young children."
"Where can you buy first-aid kits?","You can buy first-aid kits at many drugstores or assemble your own."
"What supplies might a first-aid kit include?","A first-aid kit might include basic supplies, medications, and emergency items. Basic supplies might include adhesive tape, elastic wrap bandages, bandage strips, and various other items."
"What medications might a first-aid kit include?","Medications that might be included in a first-aid kit could include pain relievers, antihistamines, cough and cold medications, and personal medications that don't require refrigeration."
"What emergency items might be included in a first-aid kit?","Emergency items that might be included in a first-aid kit could include emergency phone numbers, medical consent forms and medical history forms for each family member, a small notepad and waterproof writing instrument, and more."
"Why is it important to check your first-aid kit regularly?","You should check your first-aid kits regularly to be sure the flashlight batteries work and to replace supplies that have expired or been used up."
"What should you do to prepare for medical emergencies?","Consider taking a first-aid course through the American Red Cross. Contact your local chapter for information on classes. You should also prepare children for medical emergencies in age-appropriate ways."
"What should you do if you or someone else inhales a foreign object?","See a healthcare provider. If the object causes choking, perform first aid."
"What should you do if a choking person can cough forcefully?","Let the person keep coughing. Coughing might naturally remove the stuck object."
"What should you do if a person can't cough, talk, cry, or laugh forcefully?","Perform first aid."
"What are the recommended steps for performing first aid on a choking adult?","Give five back blows. Stand to the side and just behind the choking adult. Place your arm across the person's chest to support the person's body. Bend the person over at the waist to face the ground. Strike five separate times between the person's shoulder blades with the heel of your hand. If back blows don't remove the stuck object, give five abdominal thrusts, also known as the Heimlich maneuver. Alternate between five blows and five thrusts until the blockage is dislodged."
"What should you do if you're the only rescuer?","Give back blows and abdominal thrusts first, then call 911 or your local emergency number for help. If another person is there, have them call for help while you give first aid."
"What should you do if the person who has inhaled an object becomes unconscious?","Lower the person onto the floor with the back on the floor and arms to the sides. Clear the airway. If you can see the object, reach a finger into the mouth to sweep out the object. Never finger sweep if you can't see the object. You risk pushing the blockage deeper into the airway. If the airway is still blocked, use chest compressions such as those that are used in CPR to remove the stuck object. Only use two rescue breaths per cycle. Recheck the mouth regularly for the object."
"What should you do if you're alone and choking?","Call 911 or your local emergency number right away. Then, give yourself abdominal thrusts, also called the Heimlich maneuver, to remove the item from the airway. Place a fist slightly above your navel. Grasp your fist with the other hand. Bend over a hard surface such as a countertop or chair. Shove your fist inward and upward."
"What are emergency essentials kits used for?","Emergency essentials kits are used to help you respond to natural disasters or other serious situations."
"What should you do to prepare for the unexpected?","You should put together a survival kit that could be useful if you needed to evacuate your home."
"How long should the supplies in an emergency essentials kit last?","The supplies in an emergency essentials kit should be enough to last three days."
"What is included in a basic emergency essentials kit?","A basic emergency essentials kit includes a small, waterproof flashlight or headlamp and extra batteries, waterproof matches, water, 1 gallon a person for each day, food that won't spoil, including baby food if needed, manual can opener for food, pet food and supplies, such as a leash, if needed, small notepad and waterproof writing instrument, blanket, cellphone with solar charger, battery-powered or hand-cranked radio and a weather radio with tone alert and extra batteries for both, insect repellent, whistle, first-aid kit, dust mask, plastic sheeting and duct tape for improvised shelter, wrench or pliers to turn off utilities, medicine, a week's supply, extra medical supplies or equipment as needed, soap, toothbrush, feminine supplies and other personal care items, moist towelettes, garbage bags and plastic ties for personal sanitation, emergency health information for you and your family, phone numbers for professional emergency contacts, such as your family doctor and pediatrician, phone numbers for a personal emergency contact, such as a friend or a family member you've asked to serve in this role, copy of insurance cards, cash or traveler's checks and change, maps of the area, and an extra set of car keys and house keys."
"What should you do with your emergency essentials kit?","You should keep your emergency essentials handy and make sure your family members know where to find the kit. You should also consider keeping basic emergency essentials in your car as well."
"What is gastroenteritis?","Gastroenteritis is an inflammation of the stomach and intestines caused by viruses, bacteria, parasites or side effects from medications."
"What are the common causes of gastroenteritis?","The common causes of gastroenteritis are viruses, food or water contaminated by bacteria or parasites, and side effects from medications."
"What are the characteristic signs and symptoms of gastroenteritis?","Characteristic signs and symptoms of gastroenteritis include nausea or vomiting, diarrhea, abdominal cramps, and low-grade fever (sometimes)."
"How can I prevent dehydration when I have gastroenteritis?","You can prevent dehydration by sipping liquids, such as a sports drink or water, to prevent dehydration. Drinking fluids too quickly can worsen the nausea and vomiting, so try to take small frequent sips over a couple of hours, instead of drinking a large amount at once."
"What should I do if I experience signs of dehydration?","If you experience signs of dehydration, such as infrequent passage of dark urine, dizziness or lightheadedness, seek medical attention if you can't drink enough fluids."
